time-02:12/20/22:12:02:34 | Train loss. 0.1036 | Train acc 0.9641 | Val loss. 0.2170 | Val acc 0.9306
time-39:12/26/22:15:39:48 | Train loss. 0.1074 | Train acc 0.9641 | Val loss. 0.5222 | Val acc 0.8287
time-40:12/26/22:15:40:59 | Train loss. 0.1446 | Train acc 0.9502 | Val loss. 0.2534 | Val acc 0.8981
time-22:12/26/22:17:22:32 | Train loss. 0.0952 | Train acc 0.9734 | Val loss. 0.2758 | Val acc 0.9074
time-38:12/26/22:17:38:05 | Train loss. 0.1201 | Train acc 0.9653 | Val loss. 0.2079 | Val acc 0.9259
time-40:12/26/22:17:40:28 | Train loss. 0.1294 | Train acc 0.9491 | Val loss. 0.1949 | Val acc 0.9306
time-03:12/26/22:18:03:09 | Train loss. 0.1075 | Train acc 0.9606 | Val loss. 0.1788 | Val acc 0.9213
time-59:12/27/22:20:59:27 | Train loss. 0.1029 | Train acc 0.9676 | Val loss. 0.2444 | Val acc 0.9213
time-39:12/27/22:21:39:15 | Train loss. 0.1005 | Train acc 0.9745 | Val loss. 0.3623 | Val acc 0.1759
time-39:12/27/22:21:39:58 | Train loss. 0.1177 | Train acc 0.9618 | Val loss. 0.4190 | Val acc 0.8796
time-57:12/27/22:21:57:28 | Train loss. 0.0880 | Train acc 0.9734 | Val loss. 0.4400 | Val acc 0.8750
time-04:12/27/22:22:04:30 | Train loss. 0.1129 | Train acc 0.9757 | Val loss. 0.3565 | Val acc 0.8889
time-42:12/27/22:22:42:51 | Train loss. 0.1045 | Train acc 0.9907 | Val loss. 0.3665 | Val acc 0.8935
time-05:12/27/22:23:05:50 | Train loss. 0.1151 | Train acc 0.9826 | Val loss. 0.2200 | Val acc 0.9306
time-33:12/27/22:23:33:45 | Train loss. 0.1115 | Train acc 0.9873 | Val loss. 0.2855 | Val acc 0.8981
time-35:12/27/22:23:35:18 | Train loss. 0.0994 | Train acc 0.9907 | Val loss. 0.2429 | Val acc 0.9213
time-36:12/27/22:23:36:49 | Train loss. 0.1118 | Train acc 0.9850 | Val loss. 0.3247 | Val acc 0.9028
