time-02:12/20/22:12:02:26 | Train loss. 0.1050 | Train acc 0.9606 | Val loss. 0.2327 | Val acc 0.9167
time-39:12/26/22:15:39:40 | Train loss. 0.0999 | Train acc 0.9641 | Val loss. 0.4315 | Val acc 0.8519
time-40:12/26/22:15:40:51 | Train loss. 0.1438 | Train acc 0.9468 | Val loss. 0.4816 | Val acc 0.8611
time-22:12/26/22:17:22:23 | Train loss. 0.0927 | Train acc 0.9757 | Val loss. 0.1588 | Val acc 0.9537
time-37:12/26/22:17:37:57 | Train loss. 0.0610 | Train acc 0.9803 | Val loss. 0.3530 | Val acc 0.8889
time-40:12/26/22:17:40:20 | Train loss. 0.0970 | Train acc 0.9722 | Val loss. 0.2316 | Val acc 0.9167
time-03:12/26/22:18:03:01 | Train loss. 0.1131 | Train acc 0.9606 | Val loss. 0.3673 | Val acc 0.8889
time-59:12/27/22:20:59:19 | Train loss. 0.0759 | Train acc 0.9803 | Val loss. 0.2682 | Val acc 0.9259
time-39:12/27/22:21:39:07 | Train loss. 0.1336 | Train acc 0.9537 | Val loss. 0.2420 | Val acc 0.1343
time-39:12/27/22:21:39:50 | Train loss. 0.1396 | Train acc 0.9502 | Val loss. 0.3184 | Val acc 0.8843
time-57:12/27/22:21:57:19 | Train loss. 0.0968 | Train acc 0.9699 | Val loss. 0.3129 | Val acc 0.8843
time-04:12/27/22:22:04:22 | Train loss. 0.0806 | Train acc 0.9757 | Val loss. 0.2594 | Val acc 0.9213
time-42:12/27/22:22:42:44 | Train loss. 0.1327 | Train acc 0.9688 | Val loss. 0.2444 | Val acc 0.9167
time-05:12/27/22:23:05:42 | Train loss. 0.1133 | Train acc 0.9826 | Val loss. 0.3538 | Val acc 0.8657
time-33:12/27/22:23:33:37 | Train loss. 0.1313 | Train acc 0.9745 | Val loss. 0.1844 | Val acc 0.9444
time-35:12/27/22:23:35:10 | Train loss. 0.1147 | Train acc 0.9815 | Val loss. 0.2574 | Val acc 0.9028
time-36:12/27/22:23:36:41 | Train loss. 0.1069 | Train acc 0.9792 | Val loss. 0.1844 | Val acc 0.9398
